Scenario ID,Scenario Name,Category,Objective,Preconditions,Business Steps,Expected Result
UAT-01,Default trigger values are displayed correctly,Core Functionality,"Confirm the system displays the new default trigger values in Finance.","- The default values for the new fields are mainly applicable for newly created deals
- Rights Engineering / Rights Operations to create some set of deals for testing. Ideally mirror some existing deals identified by Finance
- A deal is accepted into Finance
- Title Valuation is available","1. Open the deal in Finance
2. Navigate to Title Valuation
3. Review the displayed values for Cap Trigger and Amort Trigger","- Cap Trigger default is displayed as Licence Start Date
- Amort Trigger default is displayed as First Airing"
UAT-02,"Valid combination: Cap Trigger = Licence Start Date / Amort Trigger = First Airing",Core Functionality,"Validate the default business scenario for Currents and Library content.","- Title is available in Finance
- Trigger fields are editable","1. Set Cap Trigger to Licence Start Date
2. Set Amort Trigger to First Airing
3. Save the title
4. Attempt TV approval
5. Review Amort behaviour","- Combination is accepted as valid
- TV can be approved and posted to GL
- Amort does not proceed to approval until trigger conditions are met, in line with agreed design"
UAT-03,"Valid combination: Cap Trigger = Licence Start Date / Amort Trigger = Licence Start Date",Core Functionality,"Validate the edge case where no First Airing date exists and Finance switches Amort Trigger.","- Title has no First Airing date available
- Deal accepted into Finance","1. Set Cap Trigger to Licence Start Date
2. Set Amort Trigger to Licence Start Date
3. Save the title
4. Attempt TV approval
5. Attempt Amort approval","- Combination is accepted as valid
- TV can be approved and posted
- Amort can be approved and posted"
UAT-04,"Invalid combination: Cap Trigger = First Airing / Amort Trigger = Licence Start Date",Edge Case,"Validate that the invalid business combination cannot be processed as a valid scenario.","- Deal/title available in Finance","1. Set Cap Trigger to First Airing
2. Set Amort Trigger to Licence Start Date
3. Attempt to save and/or progress the deal through approval","- This combination is treated as invalid
- System prevents, blocks, or otherwise does not allow this combination to progress as a valid scenario
- Ideally, we are expecting a UI error message which shout this as an invalid combination"
UAT-05,"Valid combination: Cap Trigger = First Airing / Amort Trigger = First Airing",Core Functionality,"Validate the Sky Originals scenario.","- Title has a First Airing date available
- Deal accepted into Finance","1. Set Cap Trigger to First Airing
2. Set Amort Trigger to First Airing
3. Save the title
4. Attempt TV approval
5. Review Amort schedule and approval state","- Combination is accepted as valid
- FX basis is aligned to the Month of Premiere TX
- TV cannot be approved until First Airing date is populated
- Amort schedule is created and behaves as per agreed design"
UAT-06,FX is always based on Cap Trigger,Core Functionality,"Validate that FX for Asset Value and Amortisation follows the Cap Trigger.","- Need to create 2 test deals for testing this scenario. Rights Engineering/RightsOps to create these deals
- Test data available for at least: Cap Trigger = Licence Start Date and Cap Trigger = First Airing
- Relevant FX scenario visible in Finance/reporting","1. Use a scenario where Cap Trigger = Licence Start Date and capture the FX month used
2. Use a scenario where Cap Trigger = First Airing and capture the FX month used
3. Compare the FX basis in both scenarios","- If Cap Trigger = Licence Start Date, FX basis = Month of Licence Start
- If Cap Trigger = First Airing, FX basis = Month of Premiere TX
- Asset Value and Amortisation follow the Cap Trigger consistently"
UAT-07,"Subscriber deal: Cap Trigger can be changed in Finance",Subscriber Deal,"Validate subscriber-specific Cap Trigger behaviour.","- Need to create 1 subscriber test deal for testing this scenario. Rights Engineering/RightsOps to create this deal
- Subscriber deal available in Finance
- Deal accepted into Finance","1. Open the Subscriber deal in Finance
2. Navigate to Title Valuation
3. Change Cap Trigger to First Airing
4. Save the deal","- Finance user can set Cap Trigger = First Airing for Subscriber deals"
UAT-08,"Subscriber deal: Cap Trigger change does not sync back and does not reset on re-acceptance",Subscriber Deal,"Validate persistence of the Finance-side Cap Trigger change for Subscriber deals.","- Need to create 1 test deal for testing this scenario. Rights Engineering/RightsOps to create this deal
- Subscriber deal already updated in Finance
- A Rights In change is available for re-acceptance","1. Change Cap Trigger in Finance
2. Re-accept the deal into Finance after a subsequent Rights In change
3. Re-open Title Valuation","- Cap Trigger changed in Finance does not reflect back to Rights In
- Cap Trigger does not reset to the original/default value on re-acceptance"
UAT-09,"Title Valuation approval when Cap Trigger = First Airing and premiere date is missing",Edge Case,"Validate title-level approval blocking when Cap Trigger depends on First Airing.","- Need to create 1 test deal for testing this scenario. Rights Engineering/RightsOps to create these deals
- Cap Trigger = First Airing
- At least one title has no premiere / First Airing date","1. Open Title Valuation
2. Attempt to approve all titles using title-level approval
3. Review which titles are selectable","- Only titles with a premiere date can be approved
- Titles without a First Airing date are greyed out
- TV cannot be approved for titles where First Airing is missing"
UAT-10,Amort schedule is created based on Licence Start Date when First Airing is missing,Edge Case,"Validate the agreed behaviour for unscheduled titles.","- First Airing date is missing
- Trigger combination under test relies on First Airing","1. Open the title in Finance
2. Review/generate the Amort schedule
3. Check the initial schedule start month","- Initial Amort schedule is created based on Licence Start Date when airing date is missing"
